territory_id,state,city,pattern,status,date_from,date_to,url
1503077,PA,Garrafão do Norte,adiarios_v1,atual,2018-07-31,2024-10-31,https://www.garrafaodonorte.pa.gov.br/diariooficial.php
1504059,PA,Mãe do Rio,adiarios_v1,descontinuado,2022-08-24,2022-09-20,https://www.prefeituramaedorio.pa.gov.br/diariooficial.php
1508126,PA,Ulianópolis,adiarios_v1,descontinuado,2022-06-08,2023-02-06,https://www.ulianopolis.pa.gov.br/diariooficial.php
1600709,AP,Tartarugalzinho,adiarios_v1,atual,0024-10-14,2024-10-31,https://www.tartarugalzinho.ap.gov.br/diariooficial.php
1702901,TO,Axixá do Tocantins,adiarios_v1,atual,2021-08-16,2024-10-28,https://www.axixa.to.gov.br/diariooficial.php
2100402,MA,Altamira do Maranhão,adiarios_v1,atual,2021-01-04,2024-11-01,https://www.altamira.ma.gov.br/diariooficial.php
2100709,MA,Anajatuba,adiarios_v1,atual,2021-02-12,2024-10-30,https://www.anajatuba.ma.gov.br/diariooficial.php
2100956,MA,Arame,adiarios_v1,atual,2017-02-10,2024-10-30,https://www.arame.ma.gov.br/diariooficial.php
2101707,MA,Barreirinhas,adiarios_v1,descontinuado,2017-01-02,2021-05-25,https://www.barreirinhas.ma.gov.br/diariooficial.php
2102002,MA,Bom Jardim,adiarios_v1,atual,2017-07-19,2024-11-01,https://www.bomjardim.ma.gov.br/diariooficial.php
2102077,MA,Bom Lugar,adiarios_v1,atual,2013-01-13,2024-10-31,https://www.bomlugar.ma.gov.br/diariooficial.php
2102325,MA,Buriticupu,adiarios_v1,atual,2018-05-07,2024-10-30,https://www.buriticupu.ma.gov.br/diariooficial.php
2102705,MA,Cantanhede,adiarios_v1,atual,2009-01-05,2024-10-23,https://www.cantanhede.ma.gov.br/diariooficial.php
2102804,MA,Carolina,adiarios_v1,descontinuado,2024-04-17,2024-07-01,https://www.carolina.ma.gov.br/diariooficial.php
2102903,MA,Carutapera,adiarios_v1,atual,2021-02-18,2024-10-30,https://www.carutapera.ma.gov.br/diariooficial.php
2104008,MA,Esperantinópolis,adiarios_v1,atual,2002-02-24,2024-10-30,https://www.esperantinopolis.ma.gov.br/diariooficial.php
2105104,MA,Icatu,adiarios_v1,atual,2021-03-29,2024-10-29,https://www.icatu.ma.gov.br/diariooficial.php
2105401,MA,Itapecuru Mirim,adiarios_v1,atual,2021-03-29,2024-10-31,https://www.itapecurumirim.ma.gov.br/diariooficial.php
2105708,MA,Lago da Pedra,adiarios_v1,atual,2018-12-31,2024-10-31,https://www.lagodapedra.ma.gov.br/diariooficial.php
2106003,MA,Lima Campos,adiarios_v1,atual,2013-01-02,2024-10-30,https://www.limacampos.ma.gov.br/diariooficial.php
